match_id,commence_time_utc,home_team,away_team,closing_snapshot_utc,captured_at_utc,h2h_home_odds,h2h_draw_odds,h2h_away_odds,h2h_home_fair,h2h_draw_fair,h2h_away_fair,h2h_overround,ah_line_home,ah_home_odds,ah_away_odds,ah_home_fair,ah_away_fair,ah_overround,tot_line,tot_over_odds,tot_under_odds,tot_over_fair,tot_under_fair,tot_overround,status,note
f58c55a9da96af562c31b7c5cca40187,2026-07-01T02:00:00Z,Mexico,Ecuador,2026-07-01T01:55:37Z,2026-07-01T02:03:01Z,2.41,2.8,4.02,0.40761,0.35011,0.24229,1.02084,-0.25,1.99,1.94,0.49352,0.50648,1.01798,1.75,1.98,1.93,0.49346,0.50654,1.02319,ok,
5ff7744314f224c18d1604ee9cc19263,2026-07-01T16:00:00Z,England,DR Congo,2026-07-01T15:55:36Z,2026-07-01T16:11:37Z,1.3,5.2,15.0,0.75685,0.18385,0.0593,1.02821,-1.5,2.01,1.93,0.48969,0.51031,1.01565,2.5,2.04,1.87,0.47772,0.52228,1.02496,ok,
658ac8cbf214ca3cc150109b4ddc1e74,2026-07-01T20:00:00Z,Belgium,Senegal,2026-07-01T19:55:36Z,2026-07-01T20:17:17Z,1.98,3.46,4.37,0.49649,0.28167,0.22184,1.0229,-0.5,1.98,1.95,0.49611,0.50389,1.01787,2.75,1.99,1.91,0.48948,0.51052,1.02607,ok,
9eeb4876001f5a52ce3c3641bd5f1f2f,2026-07-02T00:00:00Z,USA,Bosnia & Herzegovina,2026-07-01T23:55:37Z,2026-07-02T00:16:55Z,1.38,5.25,9.5,0.71591,0.18442,0.09968,1.02038,-1.5,2.05,1.89,0.47935,0.52065,1.01691,3.0,2.14,1.79,0.45432,0.54568,1.02595,ok,
a518ac20df8f5c732b881e213ae0c230,2026-07-02T19:00:00Z,Spain,Austria,2026-07-02T18:55:37Z,2026-07-02T19:54:35Z,1.37,5.15,10.0,0.71958,0.18698,0.09344,1.0241,-1.5,2.04,1.89,0.48055,0.51945,1.0193,2.75,1.91,2.0,0.51178,0.48822,1.02356,ok,
852b4baf0be4b9eef2a30596a8d39249,2026-07-02T23:00:00Z,Portugal,Croatia,2026-07-02T22:55:37Z,2026-07-02T23:40:42Z,1.72,3.7,5.95,0.57364,0.26402,0.16234,1.01973,-0.75,1.91,2.03,0.51547,0.48453,1.01617,2.5,1.79,2.14,0.54568,0.45432,1.02595,ok,
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,Switzerland,Algeria,2026-07-03T02:55:36Z,2026-07-03T05:01:37Z,2.02,3.26,4.51,0.48631,0.2991,0.21459,1.02353,-0.5,2.03,1.91,0.48453,0.51547,1.01617,2.25,1.92,1.99,0.50916,0.49084,1.02335,ok,
fb270a3dac2b682c861bd674a5ff4a04,2026-07-03T18:00:00Z,Australia,Egypt,2026-07-03T17:55:37Z,2026-07-03T18:03:12Z,3.7,2.88,2.47,0.26321,0.33973,0.39705,1.02235,0.25,1.88,2.06,0.52324,0.47676,1.01735,2.0,2.16,1.78,0.45058,0.54942,1.02476,ok,
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,Argentina,Cape Verde,2026-07-03T21:55:36Z,2026-07-03T22:44:50Z,1.15,9.0,23.0,0.85836,0.10431,0.03733,1.02415,-2.25,2.03,1.89,0.48176,0.51824,1.02171,3.0,2.07,1.85,0.47128,0.52872,1.02363,ok,
88e032a2b2e5042d26db3f0da1df924a,2026-07-04T01:30:00Z,Colombia,Ghana,2026-07-04T01:25:37Z,2026-07-04T04:55:57Z,1.45,4.25,8.9,0.67406,0.22379,0.10215,1.03731,-1.25,2.06,1.88,0.47676,0.52324,1.01735,2.25,1.88,2.03,0.51965,0.48035,1.02453,ok,
